Station code,Station name(district),Address,Latitude,Longitude
101,Jongno-gu,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",37.572016399999995,127.00500749999999
102,Jung-gu,"15, Deoksugung-gil, Jung-gu, Seoul, Republic of Korea",37.564262899999996,126.97467569999999
103,Yongsan-gu,"136, Hannam-daero, Yongsan-gu, Seoul, Republic of Korea",37.540032700000005,127.00485
104,Eunpyeong-gu,"215, Jinheung-ro, Eunpyeong-gu, Seoul, Republic of Korea",37.6098232,126.9348476
105,Seodaemun-gu,"32, Segeomjeong-ro 4-gil, Seodaemun-gu, Seoul, Republic of Korea",37.5937421,126.9496787
106,Mapo-gu,"10, Poeun-ro 6-gil, Mapo-gu, Seoul, Republic of Korea",37.555580299999995,126.90559750000001
107,Seongdong-gu,"18, Ttukseom-ro 3-gil, Seongdong-gu, Seoul, Republic of Korea",37.541864200000006,127.04965890000001
108,Gwangjin-gu,"571, Gwangnaru-ro, Gwangjin-gu, Seoul, Republic of Korea",37.547180299999994,127.0924929
109,Dongdaemun-gu,"43, Cheonho-daero 13-gil, Dongdaemun-gu, Seoul, Republic of Korea",37.57574279999999,127.0288848
110,Jungnang-gu,"369, Yongmasan-ro, Jungnang-gu, Seoul, Republic of Korea",37.5848485,127.0940229
111,Seongbuk-gu,"70, Samyang-ro 2-gil, Seongbuk-gu, Seoul, Republic of Korea",37.606718900000004,127.0272794
112,Gangbuk-gu,"49, Samyang-ro 139-gil, Gangbuk-gu, Seoul, Republic of Korea",37.6479299,127.01195179999999
113,Dobong-gu,"34, Sirubong-ro 2-gil, Dobong-gu, Seoul, Republic of Korea",37.6541919,127.0290879
114,Nowon-gu,"17, Sanggye-ro 23-gil, Nowon-gu, Seoul, Republic of Korea",37.6587743,127.0685054
115,Yangcheon-gu,"56, Jungang-ro 52-gil, Yangcheon-gu, Seoul, Republic of Korea",37.5259388,126.85660290000001
116,Gangseo-gu,"71, Gangseo-ro 45da-gil, Gangseo-gu, Seoul, Republic of Korea",37.54464,126.8351506
117,Guro-gu,"45, Gamasan-ro 27-gil, Guro-gu, Seoul, Republic of Korea",37.498498100000006,126.88969240000002
118,Geumcheon-gu,"20, Geumha-ro 21-gil, Geumcheon-gu, Seoul, Republic of Korea",37.4523569,126.9082956
119,Yeongdeungpo-gu,"11, Yangsan-ro 23-gil, Yeongdeungpo-gu, Seoul, Republic of Korea",37.5250065,126.89737050000001
120,Dongjak-gu,"6, Sadang-ro 16a-gil, Dongjak-gu, Seoul, Republic of Korea",37.4809167,126.9714807
121,Gwanak-gu,"14, Sillimdong-gil, Gwanak-gu, Seoul, Republic of Korea",37.4873546,126.927102
122,Seocho-gu,"16, Sinbanpo-ro 15-gil, Seocho-gu, Seoul, Republic of Korea",37.5045471,126.99445779999999
123,Gangnam-gu,"426, Hakdong-ro, Gangnam-gu, Seoul, Republic of Korea",37.5175282,127.0474699
124,Songpa-gu,"236, Baekjegobun-ro, Songpa-gu, Seoul, Republic of Korea",37.5026857,127.0925092
125,Gangdong-gu,"59, Gucheonmyeon-ro 42-gil, Gangdong-gu, Seoul, Republic of Korea",37.5449625,127.13679170000002
